Modulbezeichnung:,engl. Modulbezeichnung:,Anbietende Fakultät:,Hinweise:,ggf. Modulniveau:,Kürzel:,ggf. Untertitel:,ggf. Lehrveranstaltungen:,Studiensemester:,Semesterlage:,Modulverantwortliche(r):,Dozent(in):,Sprache:,Zuordnung zum Curriculum:,Lehrform / SWS:,Arbeitsaufwand:,Kreditpunkte:,Voraussetzungen nach Prüfungsordnung:,Empfohlene Voraussetzungen:,Angestrebte Lernergebnisse:,Inhalt:,Studien-/ Prüfungsleistungen:,Medienformen:,Literatur:
Topics in Algorithmics,Topics in Algorithmics,FIN,,,TinA,,,M.Sc. ab 1. Semester,,Professur für Theoretische Informatik / Algorithmische Geometrie,Professur für Theoretische Informatik / Algorithmische Geometrie,deutsch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. WIF - Bereich Informatik FIN: M.Sc. DKE - Bereich Fundamentals,Vorlesung; Übung,"Präsenzzeiten: 3 SWS Vorlesung + Präsentationen 1 SWS Übung Selbstständige Arbeit: Bearbeiten der Übungen und Nachbereitung der Vorlesungen, Vorbereiten der Präsentation 180h = 4 SWS = 56h Präsenzzeit + 124h selbstständige Arbeit",6,,Grundkenntnisse in Algorithmen und Datenstrukturen und asymptotischer Analyse.,"Lernziele & erworbene Kompetenzen: Befähigung zum Finden asymptotisch effizienter Lösungen für algorithmische Probleme mit Hilfe von Methoden, die dem aktuellen Stand der Technik entsprechen",Entwurf und Analyse ausgewählter Algorithmen (variiert von Veranstaltung zu Veranstaltung),P   rüfungsvorleistung: s. Vorlesung Prüfung: mündlich,,
Trainingsmodul Schlüssel- und Methodenkompetenz (dual) (SPO bis 09/2023),Training Module in Key Competencies (dual),FIN,,,TM SMK,,,B.Sc. ab 3. Semester,jedes Semester,Dozenten der FIN,veranstaltungsspezifisch,deutsch,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - Trainingsmodul FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - Trainingsmodul FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - Trainingsmodul FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen - Trainingsmodul,Veranstaltungsspezifisch,90 Stunden. Die Verteilung zwischen Präsenzzeiten und selbstständigem Arbeiten ist veranstaltungsspezifisch.,3,,,"Lernziele & erworbene Kompetenzen: Anwendung und Training von Schlüssel- und Methodenkompetenzen. Hierzu können gehören:Team- und Projektarbeit,mündliche Präsentation,Bericht anfertigen, Zeit- und Selbstmanagement,berufliche Orientierung,wissenschaftliches Arbeiten.",Dieses Modul wird durch unterschiedliche Lehrveranstaltungen implementiert. Die Inhalte sind daher angebotsspezifisch., Dieses Modul wird durch unterschiedliche Lehrveranstaltungen implementiert. Studien-/ Prüfungsleistungen sind veranstaltungsspezifisch und in Kooperation mit dem Praxispartner zu erbringen. Sie werden zu Beginn der Veranstaltung bekanntgegeben. Das Modul wird in den Studiengängen der FIN nicht benotet,,Veranstaltungsspezifisch
Trainingsmodul Schlüssel- und Methodenkompetenz (SPO bis 09/2023),Training Module in Key Competencies,FIN,,,TM SMK,,,B.Sc. ab 3. Semester,jedes Semester,Dozenten der FIN,veranstaltungsspezifisch,deutsch,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - Trainingsmodul FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - Trainingsmodul FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - Trainingsmodul FIN: B.Sc. WIF - Schlüssel- und Methodenkompetenzen - Trainingsmodul,Veranstaltungsspezifisch,90 Stunden. Die Verteilung zwischen Präsenzzeiten und selbstständigem Arbeiten ist veranstaltungsspezifisch,3,,,Lernziele & erworbene Kompetenzen: Anwendung und Training von Schlüssel- und Methodenkompe-tenzen. Hierzu können gehören: Team- und Projektarbeitmündliche PräsentationBericht anfertigenZeit- und Selbstmanagementberufliche Orientierungwissenschaftliches Arbeiten,Dieses Modul wird durch unterschiedliche Lehrveranstaltungen implementiert. Die Inhalte sind daher angebotsspezifisch., Dieses Modul wird durch unterschiedliche Lehrveranstaltungen implementiert. Studien-/ Prüfungsleistungen sind veranstaltungsspezifisch und werden zu Beginn der Veranstaltung bekanntgegeben. Das Modul wird in den Studiengängen der FIN nicht benotet.,,Veranstaltungsspezifisch
Transaction Processing,Transaction Processing,FIN,,,TP,,,M.Sc. ab 1. Semester,Wintersemester,Professur für Praktische Informatik / Datenbanken und Informationssysteme,Prof. Dr. Thomas Leich,englisch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DIGIENG - Fachliche Spezialisierung FIN: M.Sc. DKE - Data Processing for Data Science FIN: M.Sc. DKE (alt) - Bereich Methods II FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Computer Science FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung,Präsenzzeiten: wöchentliche Vorlesungen 2 SWS wöchentliche Übungen 2 SWS Selbstständiges Arbeiten: Übungsaufgaben & Prüfungsvorbereitung 180h (56h Präsenzzeit in den Vorlesungen & Übungen + 124h selbstständige Arbeit),6,,Veranstaltung „Datenbanken“,Lernziele & erworbene Kompetenzen: Grundverständnis der Problematik d. Transaktionsverwaltung Kenntnisse von theoretischen Grundlagen Kenntnisse zur Algorithmen u. Verfahren zur Synchronisation Kenntnisse über Algorithmen und Verfahren zur Aufrecht-erhaltung der ACID-Eigenschaften,"TransaktionskonzeptSerialisierbarkeitstheorie Synchronisationsverfahren Wiederherstellung und Datensicherung Transaktionsverwaltung in verteilten Datenbanksystemen (Verteilte Synchronisation, Verteilt Commit, etc.) Erweiterte Transaktionsmodelle",P   rüfungsvoraussetzungen: Anmeldung und Teilnahme an den Vorlesungen und Übungen Prüfung/ Schein: mündlich,,"Datenbanken: Implementierungstechniken. Gunter Saake, Kai-Uwe Sattler, Andreas Heuer, 3. Auflage mitp-Verlag, Bonn, 2011, ISBN 978-3826691560"
"Transport phenomena in granular, particulate and porous media","Transport phenomena in granular, particulate and porous media",FVST,,,,,,M.Sc. ab 1. Semester,Sommersemester,Prof. Tsotsas,Prof. Tsotsas,deutsch,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung,,Präsenzzeit: 42 Stunden / Selbststudium: 48 Stunden,3,,,"Dispersed solids find broad industrial application as raw materials (e.g. coal), products (e.g. plastic granulates) or auxiliaries (e.g. catalyst pellets). Solids are in this way involved in numerous important processes, e.g. regenerative heat transfer, adsorption, chromatography, drying, heterogeneous catalysis. To the most frequent forms of the dispersed solids belong fixed, ag-itated and fluidized beds. In the lecture the transport phenomena, i.e. momentum, heat and mass transfer, in such systems are discussed. It is shown, how physical fundamentals in combination with mathematical models and with intelligent laboratory experiments can be used for the design of processes and products, and for the dimensioning of the appropriate apparatuses. Master transport phenomena in granular, particulate and porous media Learn to design respective processes and products Learn to combine mathematical modelling with lab experiments","Transport phenomena between single particles and a fluidFixed beds: Porosity, distribution of velocity, fluid-solid transport phenomena Influence of flow maldistribution and axial dispersion on heat and mass transfer Fluidized beds: Structure, expansion, fluid-solid transport phenomena Mechanisms of heat transfer through gas-filled gaps Thermal conductivity of fixed beds without flow Axial and lateral heat and mass transfer in fixed beds with fluid flow Heat transfer from heating surfaces to static or agitated bulk materials Contact drying in vacuum and in presence of inert gas Heat transfer between fluidized beds and immersed heating elements",Exam: oral,,
Umweltmanagementinformationssysteme,Umweltmanagementinformationssysteme,FIN,,,,,,B.Sc. ab 1. Semester,Sommersemester,Professur für Angewandte Informatik / Wirtschaftsinformatik - Managementinformationssysteme,Professur für Angewandte Informatik / Wirtschaftsinformatik - Managementinformationssysteme,deutsch,FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. WIF - Bereich Wirtschaftsinformatik,Vorlesung; Übung,Präsenzzeiten: 2 SWS Vorlesung = 28h 2 SWS Übung = 28h Selbstständiges Arbeiten: Vor- und Nachbereitung Vorlesung Entwicklung von Lösungen in der Übung 150h = 4 SWS = 56h Präsenzzeit + 94h selbstständige Arbeit,6,,Methods and Tools for Management Information Systems,"Lernziele & zu erwerbende Kompetenzen: Verständnis des Spannungsfeldes aus Umweltaspekten, umweltorientierter Leistung und Umweltinformation Anwendung von methodischen Herangehensweisen zur Messung Umweltaspekten und umweltorientierter Leistung Verständnis der rechtlichen Folgen mangelnder Umweltleistung Anwendung von methodischen Herangehensweisen zur effizienten Erfassung, Verwaltung und Nutzung von Metadaten und Daten eines Umweltmanagements Anwendung einer methodischen Herangehensweise zur Einführung Umweltmanagementinformationssystemen in Organisationen","Grundlagen zu UmweltmanagementsystemenGesetzliche und andere Forderungen des Umweltschutzes Methoden, Werkzeuge und Normen zu Umweltmanagementsystemen Konzeption und Einführung von Umweltmanagement-informationssystemen",B   earbeitung der Übungsaufgaben mündliche Prüfung,,
Usability und Ästhetik,Usability and Aesthetic,FIN,,,,,,B.Sc. ab 4. Semester,Sommersemester,Professur für Angewandte Informatik / Wirtschaftsinformatik – Managementinformationssysteme,Prof. Dr. Hans-Knud Arndt,deutsch,FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. WIF - Gestalten,Vorlesung; Übung,Präsenzzeiten: - 2 SWS Vorlesung - 2 SWS Übung Selbstständiges Arbeiten: - Vor- und Nachbereitung Vorlesung - Entwicklung von Lösungen in und für die Übung 150h = 4 SWS = 56h Präsenzzeit + 94h selbstständige Arbeit,5,,,"Lernziele & zu erwerbende Kompetenzen: Verständnis für die Ästhetik und das Design von Informations- und Kommunikationssystemen bzw. Informations- und Kommunikationstechnik Verständnis von Design als Schlüssel zur nachhaltigen und zeitgemäßen Umsetzung von Informations- und Kommunikationssystemen bzw. einer Informations- und Kommunikationstechnik Anwendung einer methodischen Herangehensweise zur Entwicklung einer nachhaltigen Designstrategie Anwendung von Usability, User Experience und gutem Design für Informations- und Kommunikationssysteme bzw. Informations- und Kommunikationstechnik",Methoden des User Experience Design und Design Thinking für die Ideation Phase im Entwicklungsprozess von Produkten und Dienstleistungen   - Designgeschichte von Informations- und Kommunikationsprodukten - Methoden zur Konzipierung und Realisierung einer Usability und User Experience - 10 Thesen des guten Designs - Gutes Design für Informations- und Kommunikationssysteme bzw. Informations- und Kommunikationstechnik,D   as erfolgreiche Absolvieren der Semesteraufgabe ermöglicht den Studierenden die Teilnahme an der Prüfung. Prüfung: schriftliche Prüfung (Klausur) jeweils im SoSe,,Siehe http://bauhaus.cs.uni-magdeburg.de
Verfahrenstechnische Projektarbeit,Verfahrenstechnische Projektarbeit,FVST,,,,,,B.Sc. ab 1. Semester,Wintersemester,Professur für Thermodynamik und Verbrennung,"Dr.-Ing. Hermann Woche, Prof. Dr.-Ing. Eckehard Specht",deutsch,FIN: B.Sc. INGINF - Ingenieurbereich Vertiefungen - Verfahrenstechnik,Praktikum; Seminar,"Präsenzzeit: 28 Stunden, Selbststudium: 32 Stunden",2,,,Lernziele & zu erwerbende Kompetenzen: Erlernen von Gruppenarbeit und selbständigem Erarbeiten von verfahrenstechnischen Projektabläufen,Zur Herstellung eines vorgegebenen Produktes muss eine mögliche Verfahrenstechnik erarbeitet werden. Über das Produktverhalten sind an einer Laboranlage Untersuchungen durchzuführen.,Präsentation,,
Virtuelle Inbetriebnahme,Virtuelle Inbetriebnahme,FEIT,,,,,,M.Sc. ab 1. Semester,,"Prof. Dr. Christian Diedrich, FEIT-IFAT","Prof. Dr. Christian Diedrich, FEIT-IFAT",deutsch,FIN: M.Sc. DIGIENG - Methoden des Digital Engineering,Vorlesung; Übung,Präsenszeiten: Vorlesungen 2 SWS; Übungen 1 SWS Selbstständiges Arbeiten: Nacharbeiten der Vorlesung;Lösung der Übungsaufgaben Prüfungsvorbereitung 120 h (42 h Präsenzzeit + 78 h selbstständige Arbeit),5,Grundkenntnis in der Informatik und Softwareentwicklung,,Einordnung der Maschinen- und Anlagensimulation mit Schwerpunkt der virtuellen und hybriden Inbetriebnahme in die digitalen Planungs- und Betriebslebenszyklusphasenautomatisierungstechnischen Aspekte der virtuellen Inbetriebnahme Modellgrundlagen für die verwendeten Komponenten bei der virtuellen Inbetriebnahme Vermittlung der Integrationstechnologien in das PLM,"In der frühen Planungs- und Fertigungsphase werden im Engineering für technische Systeme Simulationswerkzeuge zur Validierung und Absicherung des Entwurfs, zum Test der Steuerungssoftware sowie zu Schulungszwecken für die Anwender eingesetzt. Die real nicht vorhandenen Systemkomponenten werden simulativ behandelt und werden deshalb als virtuelle bezeichnet. So ist ein schrittweises Vorgehen vom vollständig virtuellen bis zum vollständigen realen und funktionsfähigen technischen System möglich (hybride Inbetriebnahme). Die Simulation erfolgt im interdisziplinären Umfeld zwischen Mechanik, Elektro- und Automatisierungstechnik.","T   eilnahme an den Lehrveranstaltungen Prüfung am Ende des Moduls, Notenskala gemäß Prüfungsordnung, Punktvergabe nach schriftl. Klausur oder mündliche Prüfung",,
Visual Analytics,Visual Analytics,FIN,,,,,,M.Sc. ab 1. Semester,Sommersemester,Professur für Angewandte Informatik / Visualisierung,Prof. Dr.-Ing. Bernhard Preim,englisch,FIN: M.Sc. CV - Bereich Computervisualistik FIN: M.Sc. DIGIENG - Methoden des Digital Engineering FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Applied Data Science FIN: M.Sc. DKE (alt) - Bereich Applications FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung,"Präsenzzeiten: 2 SWS wöchentliche Vorlesung, 2 SWS wöchentliche Übung Selbstständiges Arbeiten: Nacharbeiten der Vorlesung, Bearbeiten der Übungsaufgaben, Prüfungsvorbereitung, schriftliche Ausarbeitung für Masterstudenten 150 h (2*28h Präsenzzeit + 94h selbstständige Arbeit), zzgl. 1 CP (Master) für schriftliche Ausarbeitung",Master: 6,,"Visualisierung, Vorkenntnisse in der Datenanalyse, z.B. Intelligente Datenanalyse, Data Mining, Machine Learning, Künstliche Intelligenz","Lernziele und zu erwerbende Kompetenzen: Diese Vorlesung vermittelt, wie große, hochdimensionale, partiell unzuverlässige und unvollständige Daten analysiert werden können unter Nutzung von Datenanalysetechniken und interaktiven Visualisierungen, die eng gekoppelt sind. Dabei werden die Eigenschaften und Parameter wichtiger Datenanalysemethoden erklärt und gezeigt, wie diese Methoden in Visual Analytics-Systeme integriert werden können. Der interdisziplinäre Charakter der Entwick-lung und Nutzung von Visual Analytics-Ansätzen wird betont. Dazu zählen auch Fragen der visuellen Wahrnehmung und der kognitiven Verarbeitung visueller Daten und deren Rolle in Entscheidungsprozessen. Besonderes Augenmerk wird auf den Wissenserzeugungsprozess gelegt; also den Prozess mit dem Beobachtungen, Hypothesen, statistische Ergebnisse und andere Artefakte erzeugt und verwaltet werden. Die Anwendungsbeispiele reichen von Finanzdaten (Aktienkursen), Daten von Kreditkartenbewegungen, Genexpressionsdaten bis zu epidemiologischen Daten und Patientendaten. Zielgruppen solcher Anwendungen sind Investoren, Sicherheitsabteilungen, Biologen, Statistiker und Ärzte.",Einleitung: Potenzial und Anwendungsbereiche von Visual AnalyticsVisual Analytics auf Basis von Clustering Visual Analytics auf Basis von Subspace-Clustering und Bi-Clustering Visual Analytics mit Decision Trees Visual Analytics mit Assoziationsregeln Scatterplot-basierte Visualisierungen Visual Analytics von Ereignissequenzen Interaktive und Kooperative Methoden von Visual Analytics Visual Analytics im Gesundheitswesen,Prüfungsvorleistungen: Werden zu Beginn des Semesters bekannt gegeben.  Prüfung: Klausur (120 Min.),"Powerpointpräsentation, Tafelnutzung, Videos","J. J. Thomas, K. A. Cook (Hrsg.): Illuminating the path: The research and development agenda for visual analytics. IEEE Computer Society 2005D. A. Keim, F. Mansmann, J. Schneidewind, J. Thomas, H. Ziegler: Visual analytics: Scope and challenges. Visual Data Mining, 2008"
Visual Analytics in Health Care,Visual Analytics in Health Care,FIN,,,VAHC,,,M.Sc. ab 1. Semester,Wintersemester,Prof. Dr.-Ing. Bernhard Preim Dr. Gabriel Mistelbauer,Prof. Dr.-Ing. Bernhard Preim Dr. Gabriel Mistelbauer,englisch,FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. CV - Bereich Anwendungen / Geisteswissenschaftliche Grundlagen FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DIGIENG - Fachliche Spezialisierung FIN: M.Sc. DKE - Applied Data Science FIN: M.Sc. DKE (alt) - Bereich Applications FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer FIN: M.Sc. WIF - Bereich Informatik,Seminar,"3 credit points = 90 h (28 h attendance time + 62 h independent work), grading scale according to examination regulations",3,,"Visualization, Data Mining, Visual Analytics or Information Visualization","Learning objectives and competences to be acquired: This seminar teaches  how combinations of data analysis (clustering, regression analysis,  classification rules) can be combined with methods of interactive visualization,  e.g. heat maps, scatterplots and time-based visualizations to solve problems in  healthcare. The applications concern clinical medicine (decision support for  physicians based on electronic health records), medical research, e.g. the  recognition of undesirable drug effects, the area of public health, which is  concerned, for example, with defining an adequate data-based reaction to a  strong outbreak of an infectious disease, and epidemiology, which examines risk  factors for the development of diseases on the basis of observation and cohort  studies and thus develops approaches for the prevention of diseases. All the  topics covered are based on real data. The presentations are also intended to  raise awareness of the fact that data quality is never perfect; missing and  partially unreliable or at least inaccurate data are the basis of the analytical  evaluation.",• Overview: Potential and applications of Visual Analytics in Healthcare • Visual Analytics in Public Health • Visual Analytics in Clinical Medicine • Visual Analytics for Detecting Adverse Drug Effects • Visual Analytics in Epidemiology,"Examinations: student talk, seminar paper (10 pages)","PowerPoint presentation, use of whiteboard, videos","Workshop volumes of the IEEE Workshop Visual Analytics in Healthcare (since  2010), selected publications of other conferences / magazines in the fields of  data analysis and visualization"
Visualisierung,Visualization,FIN,,,VIS,,,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester,Wintersemester,Professur für Angewandte Informatik / Visualisierung,Prof. Dr. Bernhard Preim,englisch,FIN: B.Sc. CV - Pflichtfächer FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. WIF - WPF Gestalten & Anwenden FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Applied Data Science FIN: M.Sc. DKE (alt) - Bereich Fundamentals FIN: M.Sc. VC - Visual Computing - Pflichtfächer FIN: M.Sc. VC - Visual Computing,Vorlesung; Übung,"Presence: ·        2 SWS Lecture ·        2 SWS Exercise Selbstständiges Arbeiten: Bearbeiten der Übungsaufgaben und Nachbereitung der Vorlesungen, Prüfungsvorbereitung",Bachelor: 5 Credit Points = 150h = 4 SWS = 56h Präsenzzeit + 94h selbständige Arbeit Master: 6 Credit Points = 180h = 4 SWS = 56h Präsenzzeit + 124h selbständige Arbeit Notenskala gemäß Prüfungsordnung,keine,"Computergraphik I, Mathematik I bis III","Goals: This lecture conveys basic  knowledge about visualizing large data in a structured manner including  interactive exploration of the data by means of visual interfaces. Objectives: Awareness of visualization goals, selection and assessment of visualization techniques Application of basic principles of computer-assisted visualization Adaptation of visualization algorithms for solving application problems Evaluation of visualization techniques in terms of performance, scaleability","Visualization goals and quality criteriaUnderstanding of fundamentals of visual perceptionOverview about data structures in visualizationBasic algorithms (Isolines, color scales, diagramm techniques),Direct and indirecte visualization of volume dataInformation visualization",P   rerequisites: s. lecture Exam: written examination 120 Min.,"Powerpoint presentation, sketches, videos","P. and M. Keller (1994): Visual Cues, IEEE Computer Society PressT. Munzner (2015). Visualization Analysis and Design: Principles, Techniques, and Practice, A K PetersW.  Schroeder, K. Martin, B. Lorensen (2001): The Visualization Toolkit: An  object-oriented approach to 3d graphics, 3. Aufl. Springer, HeidelbergA. Telea (2014): Data Visualization: Principles and Practice, Second Edition, AK Peters (2. Auflage)M. Ward, D. Keim, G. Grinstein (2015): Interactive Data Visualization: Foundations, Techniques, and Applications, Second Edition"
Visuelle Analyse und Strömungen in medizinischen Daten,Visual Analysis and Flow in Medical Data,FIN,,,VASMed,,,B.Sc. ab 4. Semester,Sommersemester,Dr.-Ing. Sylvia Saalfeld (FIN-ISG),Dr.-Ing. Sylvia Saalfeld (FIN-ISG) Dr.-Ing. Philipp Berg (FVST-ISUT),deutsch,FIN: B.Sc. CV - WPF Computervisualistik FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INGINF - WPF Informatik,Vorlesung,"Präsenzzeiten: 4 SWS anwendungsorientierte Vorlesung Selbständiges Arbeiten: Nacharbeiten der Vorlesungen und der vorgestellten Anwendungsbeispiele, Prüfungsvorbereitung oder Projektarbeit (bei geringer Teilnehmerzahl) 180h (56h Präsenzzeit + 124h selbständige Arbeit)",6,,,"Die Lehrveranstaltung gliedert sich in zwei medizintechnisch rele-vante Themenbereiche. Im Rahmen des ersten Teils werden strömungsmechanische Grundlagen anwendungs-orientiert vermittelt. In diesem Zusammenhang werden Grundprinzipien der klassischen Strömungsmechanik auf medizinische Fragestellungen übertragen, wobei Blutflussbeschreibungen im Fokus stehen. Weiterhin erfolgt eine Einführung in die numerische Strömungsmechanik (CFD), die es erlaubt, diverse Strömungsphänomene simulativ zu beschreiben. Hierbei werden sowohl Chancen als auch Limitationen der verwendeten Ansätze vermittelt. Der zweite Teil der Lehrveranstaltung bezieht sich auf die visuelle Analyse medizinischer Datensätze, bspw. Computertomographie- (CT) oder Magnetresonanztomographie- (MRT) Daten. 3D Visualisierungen der Datensätze verbessern dabei die Diagnose bestimmter Krankheitsbilder, wie kardiovaskuläre Erkrankungen oder Krebs, ermöglichen die Therapieplanung komplexer Eingriffe und erlauben eine interaktive Exploration der patientenindividuellen Anatomie. Die Lehrveranstaltung vermittelt Grundlagen der Computergraphik und Visualisierung, sowie die benötigten Bildverarbeitungs- und Analyseschritte. Anschließend werden komplexe Visualisierungstechniken für den medizinischen Anwendungsfall vorgestellt.","Teil 1: Medizinische Strömungen: Vermittlung strömungsmechanischer Grundlagen Anwendung auf medizinisch relevante Strömungsphäno-mene (u.a. Herz-Kreislauf-System, zerebrale Hämodynamik, Lungen- und Rachenströmungen) Einführung in die numerische Strömungsmechanik Identifikation von Chancen und Limitationen der Simulationstechniken für medizinische Strömungen Teil 2: Visuelle Analyse medizinischer Daten Einführung in die Visualisierung und Bildanalyse für medizinische Datensätze Direkte Volumenvisualisierung mittels Transferfunktionen Indirekte Volumenvisualisierung mittels Oberflächen Visuelle Analyse medizinisch relevanter Erkrankungen (u.a. kardiovaskuläre Erkrankungen, Tumorerkrankungen)",Mündliche Prüfung oder Projektpräsentation (bei geringer Teilneh-merzahl),,
Visuelle Kommunikation für Digitale Medien,Visual Communication for Digital Media,FIN,,,,,,B.Sc. ab 2. Semester,jedes Semester,Prof. Steffi Hußlein,"Prof. Steffi Hußlein, Mareike Gabele (M.A.)",deutsch,FIN: B.Sc. CV - Allgemeine Visualistik - Design,Seminar,5 CP = 150 Std. (30 Std. Präsenz + 60 Std. selbstständiges Einarbeiten und Üben + 30 Std. Vorbereitung eines Referats + 30 Std. Erarbeiten eines Handouts in eigenem Layout),5 CP,keine,,"Die zunehmende Komplexität und Vielfalt digitaler Medien macht einen sicheren Umgang im Bereich der digitalen Gestaltung notwendig. Die dafür notwendigen Kompetenzen werden systematisch durch eine Vorlesungsreihe im Bereich der visuellen Kommunikation mit Schwerpunkt der Gestaltung von digitalen Medien erworben. Hinzu kommen anwendungsorientierte Aufgaben, die zu jeder Vorlesung herausgegeben werden und das Gelernte zu vertiefen. Die Vermittlung gestalterischer und konzeptioneller Grundlagen für digitale Systeme soll die Entscheidungsfähigkeit in Gestaltungsfragen im Interaction Design festigen, sowie eine eigenständige Kompetenz und Stilsicherheit im Entwurf ausbilden. Es werden theoretische und praktische Grundlagen der visuellen Kommunikation im Screen Design elektronischer Medien (u.a. Internet/World Wide Web, Tablets, Smartphones, E-Books, Digitales Fernsehen, Medienfassaden, Digital Video etc.) vermittelt sowie Methoden zum Umgang und zur Gestaltung von Informations- und Bedienstrukturen in digitalen, dynamischen Anwendungen gelehrt. ","Visuelle Kommunikation geht über das Interface als Styling Fläche hinaus. Herausforderungen liegen unter anderem in der Verständlichkeit und Anpassung an die Zielgruppe. Im Kurs „Visuelle Kommunikation für digitale Medien I UI Design"" werden schrittweise und praxisbezogen Ideen, Konzepte, Visualisierungen und prototypische Umsetzungen einer Tablet App erarbeitet. Dafür werden unter anderem Ablaufdiagramme und Wireframes erstellt.  Im Fokus eines finalen Videoprototypen stehen neben der zielgruppenorientierten schlüssigen Konzeption und Interaktion eine passende formalästhetische Umsetzung von Layout und Mikroanimationen. Die Veranstaltung setzt sich aus folgenden theoretischen und praktischen Inhaltsmodulen zusammen: Entwicklung der visuellen Kommunikation: Von den analogen Medien zu den digitalen Medien Grundlagen der visuellen Kommunikation Gestaltgesetze Wahrnehmungsphysiologie und - psychologie Lesbarkeit von Text in digitalen Medien Digitale Farbe und Farbmischung Bildschirmraster und Bildorganisation Orientierung und Navigation in digitalen Informationsräumen Aufbereitung und Erstellung von digitalen, dynamischen Daten- und Informationsvisualisierungen Neben den Gestaltungsprinzipien, Rückkopplung, Kontinuität, Konsistenz und Plausibilität wird die Bedeutung von mentalen Modellen und Metaphern sowie die Organisation und Navigation von und in Informationsmengen behandelt. Diese Grammatik umfasst die Themen: Organisation und Wahrnehmung von Fläche und Raum, Farbe, Bewegung/Geschwindigkeit, Layout, semantische Strukturierung von Text und Bild, Skalierbarkeit von Rastern sowie Typografie.",Entwurf + Referat + Handout,,
